**********************************************
*************** Resumen global ***************
**********************************************

+-----+--------------------------+-----------+--------+--------+-----------+
|     |       Experimento        | Precisión | Recall | mAP@50 | mAP@50-95 |
+-----+--------------------------+-----------+--------+--------+-----------+
| 213 |    coco_20_DA_hibrid     |    sheep     |   0.708   | 0.686  | 0.734  |   0.55    |
| 214 |    coco_20_DA_hibrid     |     cow      |   0.733   | 0.679  | 0.752  |   0.565   |
| 215 |    coco_20_DA_hibrid     |   elephant   |   0.732   | 0.869  | 0.846  |   0.676   |
| 216 |    coco_20_DA_hibrid     |     bear     |   0.827   | 0.775  | 0.824  |   0.689   |
| 217 |    coco_20_DA_hibrid     |    zebra     |   0.802   |  0.85  | 0.899  |   0.719   |
| 218 |    coco_20_DA_hibrid     |   giraffe    |   0.862   | 0.879  | 0.904  |   0.733   |
| 219 |    coco_20_DA_hibrid     |   backpack   |   0.519   | 0.221  | 0.276  |   0.151   |
| 220 |    coco_20_DA_hibrid     |   umbrella   |   0.656   | 0.555  |  0.61  |   0.434   |
| 221 |    coco_20_DA_hibrid     |   handbag    |   0.621   | 0.194  | 0.277  |   0.165   |
| 222 |    coco_20_DA_hibrid     |     tie      |   0.733   | 0.458  | 0.524  |   0.357   |
| 223 |    coco_20_DA_hibrid     |   suitcase   |   0.611   | 0.542  | 0.568  |   0.402   |
| 224 |    coco_20_DA_hibrid     |   frisbee    |   0.779   | 0.809  |  0.83  |   0.654   |
| 225 |    coco_20_DA_hibrid     |     skis     |   0.633   | 0.373  | 0.464  |   0.272   |
| 226 |    coco_20_DA_hibrid     |  snowboard   |   0.653   | 0.409  | 0.494  |   0.364   |
| 227 |    coco_20_DA_hibrid     |     kite     |   0.637   | 0.569  | 0.611  |   0.423   |
| 228 |    coco_20_DA_hibrid     |  skateboard  |   0.726   |  0.76  | 0.758  |   0.571   |
| 229 |    coco_20_DA_hibrid     |  surfboard   |   0.702   | 0.581  | 0.605  |   0.405   |
| 230 |    coco_20_DA_hibrid     |    bottle    |   0.638   |  0.49  | 0.557  |   0.39    |
| 231 |    coco_20_DA_hibrid     |     cup      |   0.682   | 0.505  | 0.571  |   0.427   |
| 232 |    coco_20_DA_hibrid     |     fork     |   0.759   | 0.447  | 0.549  |   0.393   |
| 233 |    coco_20_DA_hibrid     |    knife     |   0.525   | 0.231  | 0.314  |   0.202   |
| 234 |    coco_20_DA_hibrid     |    spoon     |   0.522   | 0.265  | 0.284  |   0.194   |
| 235 |    coco_20_DA_hibrid     |     bowl     |   0.683   | 0.506  | 0.588  |   0.453   |
| 236 |    coco_20_DA_hibrid     |    banana    |   0.576   | 0.262  | 0.351  |   0.23    |
| 237 |    coco_20_DA_hibrid     |    apple     |   0.404   | 0.131  | 0.208  |   0.147   |
| 238 |    coco_20_DA_hibrid     |   sandwich   |   0.669   | 0.412  | 0.503  |   0.363   |
| 239 |    coco_20_DA_hibrid     |    orange    |   0.546   | 0.288  | 0.352  |   0.272   |
| 240 |    coco_20_DA_hibrid     |   broccoli   |   0.593   | 0.282  | 0.385  |   0.23    |
| 241 |    coco_20_DA_hibrid     |    carrot    |   0.467   | 0.271  | 0.311  |   0.199   |
| 242 |    coco_20_DA_hibrid     |    pizza     |   0.771   | 0.669  | 0.716  |   0.558   |
| 243 |    coco_20_DA_hibrid     |    donut     |   0.507   | 0.543  | 0.501  |   0.402   |
| 244 |    coco_20_DA_hibrid     |     cake     |   0.689   | 0.474  | 0.551  |   0.379   |
| 245 |    coco_20_DA_hibrid     |    chair     |   0.636   |  0.44  | 0.506  |   0.335   |
| 246 |    coco_20_DA_hibrid     |    couch     |   0.645   | 0.602  | 0.643  |   0.493   |
| 247 |    coco_20_DA_hibrid     |     bed      |   0.682   | 0.619  |  0.68  |   0.52    |
| 248 |    coco_20_DA_hibrid     |    toilet    |   0.743   | 0.737  | 0.791  |   0.647   |
| 249 |    coco_20_DA_hibrid     |      tv      |   0.769   | 0.684  | 0.764  |   0.594   |
| 250 |    coco_20_DA_hibrid     |    laptop    |   0.741   |  0.72  | 0.774  |   0.656   |
| 251 |    coco_20_DA_hibrid     |    mouse     |   0.815   | 0.708  | 0.792  |   0.607   |
